SpeciesCode,year1975,year1976,year1977,year1978,year1979,year1980,year1981,year1982,year1983,year1984,year1987,year1988,year1989,year1990,year1991,year1992,year1993,year1994,year1995,year1996,year1997,year1998,year1999,year2000,year2001,year2002,year2003,year2004,year2005,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015
SJAWMINW,0,0,0,0,0,0,0,0,1.26,0.41,0,0,0,0.04,0,0,0.44,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.08,0,0,0.04,0,0,0,0,0
SMMTHBAS,0.05,1.8,2.2,0.3,0.17,0.08,0,0.44,0.74,1.89,0.62,5,0.3,1.19,3.08,0.81,1.96,3.92,0.33,0.3,3.85,0.75,2.95,1.7,3.19,0.37,0.08,0.63,3.11,3.07,10,0.78,0.2,1.19,2.07,2.07,0.19,0.11,1.67
SPFNSHIN,55.3,21.5,50.59,35.37,74.08,178.92,30.33,47.26,16.56,44.15,35.08,204.56,42.96,42.63,24.28,36,23.67,79.46,26.33,53.41,86.78,11.25,11.32,11.4,15.5,22.96,74.15,21.33,12.33,46.83,73.28,88.3,54.2,42.7,64.3,44.44,46.62,32.3,36.48
SPTLSHIN,6.95,22.2,37.54,8.6,16.03,40.83,3.17,15.96,1.96,14.19,1.15,27,4.7,14.81,13.64,1,27.74,23,4.67,4.81,0.63,3.22,0.63,8.5,90.04,1.19,4.69,5.48,15.19,9.93,9.52,7.33,3.68,10.56,18,50.15,8.08,3.52,32
SWMPDART,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWSHINER,1.35,0.07,5.41,0.19,1.56,6.33,0.11,3.89,0.33,2,0.42,3.78,1.19,2.04,4.48,0.26,1.56,0.04,0.15,0.67,0.04,0,0.05,0,0.27,0,0.19,1,3.41,8.9,4.48,1.59,4.56,15.07,16.19,35.33,3.12,4.56,14.48
TESSDART,0.1,5.3,5.56,0.53,1.75,0.83,0.72,2.78,0.74,1.48,0.92,6.67,1.04,10.67,1.76,0.63,4.67,4.71,7.15,1.26,1.33,0.03,0.11,4.23,28.81,6,0.69,6.26,1.07,6.59,2.84,0.15,0.48,5.15,0.74,5.26,0.58,0.37,4
WHTCRAPI,0,0.7,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0,0,0,0.04,0
WHTSUCKR,0,0.67,0.85,0,0.06,1.08,0.06,0.59,0.04,0.07,0,0,0,0.67,0.64,0,0.04,0,0,0,0.15,0.03,0,0,2.08,0,0.12,0.04,0,0,0,0.07,0,0.22,0.07,0,0.08,0.11,0.22
YLLWBULH,0,0,0.02,0.04,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.27,0.11,0,0.04,0,0,0,0,0,0.07,0,0,0,0.07,0
